Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
HPE,Hewlett Packard Enterprise,reports,Information Technology,Information Technology,"Palo Alto, California",2015-11-02,1645590,
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,Consumer Discretionary,"Tysons Corner, Virginia",2017-06-19,1585689,
HFC,HollyFrontier Corp,reports,Energy,Energy,"Dallas, Texas",2018-06-18,48039,
HOLX,Hologic,reports,Health Care,Health Care,"Marlborough, Massachusetts",2016-03-30,859737,
HD,Home Depot,reports,Consumer Discretionary,Consumer Discretionary,"Atlanta, Georgia",1988-03-31,354950,
HON,Honeywell Int'l Inc.,reports,Industrials,Industrials,"Morristown, New Jersey",1964-03-31,773840,1906
HRL,Hormel Foods Corp.,reports,Consumer Staples,Consumer Staples,"Austin, Minnesota",2009-03-04,48465,
HST,Host Hotels & Resorts,reports,Real Estate,Real Estate,"Bethesda, Maryland",2007-03-20,1070750,
HPQ,HP Inc.,reports,Information Technology,Information Technology,"Palo Alto, California",1974-12-31,47217,1939 (2015)
HUM,Humana Inc.,reports,Health Care,Health Care,"Louisville, Kentucky",,49071,1961
HBAN,Huntington Bancshares,reports,Financials,Financials,"Columbus, Ohio",,49196,1866
HII,Huntington Ingalls Industries,reports,Industrials,Industrials,"Newport News, Virginia",2018-01-03,1501585,
IEX,IDEX Corporation,reports,Industrials,Industrials,"Lake Forest, Illinois",2019-08-09,832101,1988
IDXX,IDEXX Laboratories,reports,Health Care,Health Care,"Westbrook, Maine",2017-01-05,874716,
INFO,IHS Markit Ltd.,reports,Industrials,Industrials,"London, United Kingdom",2017-06-02,1598014,
ITW,Illinois Tool Works,reports,Industrials,Industrials,"Glenview, Illinois",1986-02-28,49826,
ILMN,Illumina Inc,reports,Health Care,Health Care,"San Diego, California",2015-11-19,1110803,
IR,Ingersoll-Rand PLC,reports,Industrials,Industrials,"Dublin, Ireland",2010-11-17,1466258,
INTC,Intel Corp.,reports,Information Technology,Information Technology,"Santa Clara, California",1976-12-31,50863,
ICE,Intercontinental Exchange,reports,Financials,Financials,"Atlanta, Georgia",2007-09-26,1571949,
IBM,International Business Machines,reports,Information Technology,Information Technology,"Armonk, New York",,51143,1911
INCY,Incyte,reports,Health Care,Health Care,"Wilmington, Delaware",2017-02-28,879169,
IP,International Paper,reports,Materials,Materials,"Memphis, Tennessee",,51434,1898
IPG,Interpublic Group,reports,Communication Services,Communication Services,"New York, New York",1992-10-01,51644,
IFF,Intl Flavors & Fragrances,reports,Materials,Materials,"New York, New York",1976-03-31,51253,
INTU,Intuit Inc.,reports,Information Technology,Information Technology,"Mountain View, California",2000-12-05,896878,
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care,"Sunnyvale, California",2008-06-02,1035267,
IVZ,Invesco Ltd.,reports,Financials,Financials,"Atlanta, Georgia",2008-08-21,914208,
IPGP,IPG Photonics Corp.,reports,Information Technology,Information Technology,"Oxford, Massachusetts",2018-03-07,1111928,
IQV,IQVIA Holdings Inc.,reports,Health Care,Health Care,"Durham, North Carolina",2017-08-29,1478242,
IRM,Iron Mountain Incorporated,reports,Real Estate,Real Estate,"Boston, Massachusetts",2009-01-06,1020569,
JKHY,Jack Henry & Associates,reports,Information Technology,Information Technology,"Monett, Missouri",2018-11-13,779152,
JEC,Jacobs Engineering Group,reports,Industrials,Industrials,"Pasadena, California",2007-10-26,52988,
JBHT,J. B. Hunt Transport Services,reports,Industrials,Industrials,"Lowell, Arkansas",2015-07-01,728535,
SJM,JM Smucker,reports,Consumer Staples,Consumer Staples,"Orrville, Ohio",2008-11-06,91419,
JNJ,Johnson & Johnson,reports,Health Care,Health Care,"New Brunswick, New Jersey",1973-06-30,200406,1886
JCI,Johnson Controls International,reports,Industrials,Industrials,"Cork, Ireland",2010-08-27,833444,
JPM,JPMorgan Chase & Co.,reports,Financials,Financials,"New York, New York",1975-06-30,19617,
JNPR,Juniper Networks,reports,Information Technology,Information Technology,"Sunnyvale, California",,1043604,1996
KSU,Kansas City Southern,reports,Industrials,Industrials,"Kansas City, Missouri",2013-05-24,54480,
K,Kellogg Co.,reports,Consumer Staples,Consumer Staples,"Battle Creek, Michigan",,55067,1906
KEY,KeyCorp,reports,Financials,Financials,"Cleveland, Ohio",1994-03-01,91576,
KEYS,Keysight Technologies,reports,Information Technology,Information Technology,"Santa Rosa, California",2018-11-06,1601046,2014
KMB,Kimberly-Clark,reports,Consumer Staples,Consumer Staples,"Irving, Texas",,55785,1872
KIM,Kimco Realty,reports,Real Estate,Real Estate,"New Hyde Park, New York",2006-04-04,879101,
KMI,Kinder Morgan,reports,Energy,Energy,"Houston, Texas",2012-05-25,1506307,
KLAC,KLA Corporation,reports,Information Technology,Information Technology,"Milpitas, California",,319201,1975/1977 (1997)
KSS,Kohl's Corp.,reports,Consumer Discretionary,Consumer Discretionary,"Menomonee Falls, Wisconsin",,885639,1962
KHC,Kraft Heinz Co,reports,Consumer Staples,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,
KR,Kroger Co.,reports,Consumer Staples,Consumer Staples,"Cincinnati, Ohio",,56873,1883
LB,L Brands Inc.,reports,Consumer Discretionary,Consumer Discretionary,"Columbus, Ohio",1983-09-30,701985,
LHX,L3Harris Technologies,reports,Industrials,Industrials,"Melbourne, Florida",,202058,
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care,"Burlington, North Carolina",2004-11-01,920148,
LRCX,Lam Research,reports,Information Technology,Information Technology,"Fremont, California",2012-06-29,707549,
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Consumer Staples,"Eagle, Idaho",2018-12-03,1679273,
LVS,Las Vegas Sands Corp,reports,Consumer Discretionary,Consumer Discretionary,"Las Vegas, Nevada",2019-10-03,1300514,
LEG,Leggett & Platt,reports,Consumer Discretionary,Consumer Discretionary,"Carthage, Missouri",,58492,1883
LDOS,Leidos Holdings,reports,Information Technology,Information Technology,"Reston, Virginia",2019-08-09,1336920,1969
LEN,Lennar Corp.,reports,Consumer Discretionary,Consumer Discretionary,"Miami, Florida",2005-10-04,920760,
LLY,Lilly (Eli) & Co.,reports,Health Care,Health Care,"Indianapolis, Indiana",1970-12-31,59478,1876
LNC,Lincoln National,reports,Financials,Financials,"Radnor, Pennsylvania",1976-06-30,59558,
LIN,Linde plc,reports,Materials,Materials,"Guildford, Surrey, United Kingdom",1992-07-01,1707925,
LKQ,LKQ Corporation,reports,Consumer Discretionary,Consumer Discretionary,"Chicago, Illinois",2016-05-23,1065696,
LMT,Lockheed Martin Corp.,reports,Industrials,Industrials,"Bethesda, Maryland",1984-07-31,936468,
L,Loews Corp.,reports,Financials,Financials,"New York, New York",,60086,
LOW,Lowe's Cos.,reports,Consumer Discretionary,Consumer Discretionary,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959
LYB,LyondellBasell,reports,Materials,Materials,"Rotterdam, Netherlands",2012-09-05,1489393,
MTB,M&T Bank Corp.,reports,Financials,Financials,"Buffalo, New York",,36270,1856
MAC,Macerich,reports,Real Estate,Real Estate,"Santa Monica, California",2013-05-09,912242,
M,Macy's Inc.,reports,Consumer Discretionary,Consumer Discretionary,"Cincinnati, Ohio",,794367,1929
MRO,Marathon Oil Corp.,reports,Energy,Energy,"Houston, Texas",1991-05-01,101778,
MPC,Marathon Petroleum,reports,Energy,Energy,"Findlay, Ohio",2011-07-01,1510295,
MKTX,MarketAxess,reports,Financials,Financials,"New York, New York",2019-07-01,1278021,2000
MAR,Marriott Int'l.,reports,Consumer Discretionary,Consumer Discretionary,"Bethesda, Maryland",,1048286,1927
MMC,Marsh & McLennan,reports,Financials,Financials,"New York, New York",1987-08-31,62709,
MLM,Martin Marietta Materials,reports,Materials,Materials,"Raleigh, North Carolina",2014-07-02,916076,
MAS,Masco Corp.,reports,Industrials,Industrials,"Taylor, Michigan",1981-06-30,62996,
MA,Mastercard Inc.,reports,Information Technology,Information Technology,"Harrison, New York",2008-07-18,1141391,
MKC,McCormick & Co.,reports,Consumer Staples,Consumer Staples,"Sparks, Maryland",,63754,1889
MXIM,Maxim Integrated Products Inc,reports,Information Technology,Information Technology,"San Jose, California",2018-12-03,743316,1983
MCD,McDonald's Corp.,reports,Consumer Discretionary,Consumer Discretionary,"Chicago, Illinois",1970-06-30,63908,1940
MCK,McKesson Corp.,reports,Health Care,Health Care,"Irving, Texas",,927653,1833
MDT,Medtronic plc,reports,Health Care,Health Care,"Dublin, Ireland",1986-10-31,1613103,
MRK,Merck & Co.,reports,Health Care,Health Care,"Whitehouse Station, New Jersey",,310158,1891
MET,MetLife Inc.,reports,Financials,Financials,"New York, New York",,1099219,1868
MTD,Mettler Toledo,reports,Health Care,Health Care,"Columbus, Ohio",2016-09-06,1037646,
MGM,MGM Resorts International,reports,Consumer Discretionary,Consumer Discretionary,"Paradise, Nevada",2017-07-26,789570,
MCHP,Microchip Technology,reports,Information Technology,Information Technology,"Chandler, Arizona",2007-09-07,827054,
MU,Micron Technology,reports,Information Technology,Information Technology,"Boise, Idaho",1994-09-27,723125,
MSFT,Microsoft Corp.,reports,Information Technology,Information Technology,"Redmond, Washington",1994-06-01,789019,1975
MAA,Mid-America Apartments,reports,Real Estate,Real Estate,"Memphis, Tennessee",2016-12-02,912595,
MHK,Mohawk Industries,reports,Consumer Discretionary,Consumer Discretionary,"Amsterdam, New York",2013-12-23,851968,
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Consumer Staples,"Denver, Colorado",1976-06-30,24545,
MDLZ,Mondelez International,reports,Consumer Staples,Consumer Staples,"Deerfield, Illinois",2012-10-02,1103982,
MNST,Monster Beverage,reports,Consumer Staples,Consumer Staples,"Corona, California",2012-06-28,865752,
MCO,Moody's Corp,reports,Financials,Financials,"New York, New York",,1059556,1909
MS,Morgan Stanley,reports,Financials,Financials,"New York, New York",,895421,1935
MOS,The Mosaic Company,reports,Materials,Materials,"Plymouth, Minnesota",2011-09-26,1285785,
MSI,Motorola Solutions Inc.,reports,Information Technology,Information Technology,"Schaumburg, Illinois",,68505,1928 (2011)
MSCI,MSCI Inc,reports,Financials,Financials,"New York, New York",2018-04-04,1408198,
MYL,Mylan N.V.,reports,Health Care,Health Care,"Amsterdam, Netherlands",2004-04-23,1623613,
NDAQ,"Nasdaq, Inc.",reports,Financials,Financials,"New York, New York",2008-10-22,1120193,
NOV,National Oilwell Varco Inc.,reports,Energy,Energy,"Houston, Texas",2005-03-14,1021860,
NTAP,NetApp,reports,Information Technology,Information Technology,"Sunnyvale, California",1999-06-25,1002047,
NFLX,Netflix Inc.,reports,Communication Services,Communication Services,"Los Gatos, California",2010-12-20,1065280,1997
NWL,Newell Brands,reports,Consumer Discretionary,Consumer Discretionary,"Hoboken, New Jersey",1989-04-30,814453,
NEM,Newmont Goldcorp,reports,Materials,Materials,"Denver, Colorado",1969-06-30,1164727,1921
NWSA,News Corp. Class A,reports,Communication Services,Communication Services,"New York, New York",2013-08-01,1564708,
NWS,News Corp. Class B,reports,Communication Services,Communication Services,"New York, New York",2015-09-18,1564708,
NEE,NextEra Energy,reports,Utilities,Utilities,"Juno Beach, Florida",1976-06-30,753308,
NLSN,Nielsen Holdings,reports,Industrials,Industrials,"New York, New York",2013-07-09,1492633,
NKE,Nike,reports,Consumer Discretionary,Consumer Discretionary,"Washington County, Oregon",1988-11-30,320187,
NI,NiSource Inc.,reports,Utilities,Utilities,"Merrillville, Indiana",,1111711,1912
NBL,Noble Energy Inc,reports,Energy,Energy,"Houston, Texas",2007-10-08,72207,
JWN,Nordstrom,reports,Consumer Discretionary,Consumer Discretionary,"Seattle, Washington",1986-08-31,72333,
NSC,Norfolk Southern Corp.,reports,Industrials,Industrials,"Norfolk, Virginia",,702165,1881/1894 (1980)
NTRS,Northern Trust Corp.,reports,Financials,Financials,"Chicago, Illinois",,73124,1889
NOC,Northrop Grumman,reports,Industrials,Industrials,"West Falls Church, Virginia",1985-06-30,1133421,
NLOK,NortonLifeLock,reports,Information Technology,Information Technology,"Tempe, Arizona",2003-03-25,849399,
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,Consumer Discretionary,"Miami, Florida",2017-10-13,1513761,
NRG,NRG Energy,reports,Utilities,Utilities,"Princeton, New Jersey",2010-01-29,1013871,
NUE,Nucor Corp.,reports,Materials,Materials,"Charlotte, North Carolina",1985-04-30,73309,
NVDA,Nvidia Corporation,reports,Information Technology,Information Technology,"Santa Clara, California",2001-11-30,1045810,
NVR,NVR Inc,reports,Consumer Discretionary,Consumer Discretionary,"Reston, VA",2019-09-26,906163,
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Consumer Discretionary,"Springfield, Missouri",2009-03-27,898173,
OXY,Occidental Petroleum,reports,Energy,Energy,"Houston, Texas",1982-12-31,797468,
OMC,Omnicom Group,reports,Communication Services,Communication Services,"New York, New York",,29989,1986
OKE,ONEOK,reports,Energy,Energy,"Tulsa, Oklahoma",2010-03-15,1039684,
ORCL,Oracle Corp.,reports,Information Technology,Information Technology,"Redwood Shores, California",1989-08-31,1341439,
PCAR,PACCAR Inc.,reports,Industrials,Industrials,"Bellevue, Washington",1980-12-31,75362,
PKG,Packaging Corporation of America,reports,Materials,Materials,"Lake Forest, Illinois",2017-07-26,75677,
PH,Parker-Hannifin,reports,Industrials,Industrials,"Cleveland, Ohio",1985-11-30,76334,
PAYX,Paychex Inc.,reports,Information Technology,Information Technology,"Penfield, New York",,723531,1971
PYPL,PayPal,reports,Information Technology,Information Technology,"San Jose, California",2015-07-20,1633917,
PNR,Pentair plc,reports,Industrials,Industrials,"Worsley, UK",2012-10-01,77360,
PBCT,People's United Financial,reports,Financials,Financials,"Bridgeport, Connecticut",2008-11-13,1378946,
PEP,PepsiCo Inc.,reports,Consumer Staples,Consumer Staples,"Purchase, New York",,77476,1898
PKI,PerkinElmer,reports,Health Care,Health Care,"Waltham, Massachusetts",1985-05-31,31791,
PRGO,Perrigo,reports,Health Care,Health Care,"Dublin, Ireland",2011-12-19,1585364,
PFE,Pfizer Inc.,reports,Health Care,Health Care,"New York, New York",,78003,1849
PM,Philip Morris International,reports,Consumer Staples,Consumer Staples,"New York, New York",2008-03-31,1413329,
PSX,Phillips 66,reports,Energy,Energy,"Houston, Texas",2012-05-01,1534701,
PNW,Pinnacle West Capital,reports,Utilities,Utilities,"Phoenix, Arizona",,764622,1985
PXD,Pioneer Natural Resources,reports,Energy,Energy,"Irving, Texas",2008-09-24,1038357,
PNC,PNC Financial Services,reports,Financials,Financials,"Pittsburgh, Pennsylvania",1988-04-30,713676,
PPG,PPG Industries,reports,Materials,Materials,"Pittsburgh, Pennsylvania",,79879,1883
PPL,PPL Corp.,reports,Utilities,Utilities,"Allentown, Pennsylvania",,922224,
PFG,Principal Financial Group,reports,Financials,Financials,"Des Moines, Iowa",2002-07-22,1126328,
PG,Procter & Gamble,reports,Consumer Staples,Consumer Staples,"Cincinnati, Ohio",,80424,1837
PGR,Progressive Corp.,reports,Financials,Financials,"Mayfield Village, Ohio",1997-08-04,80661,
PLD,Prologis,reports,Real Estate,Real Estate,"San Francisco, California",2003-07-17,1045609,
PRU,Prudential Financial,reports,Financials,Financials,"Newark, New Jersey",2002-07-22,1137774,
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Utilities,"Newark, New Jersey",,788784,
PSA,Public Storage,reports,Real Estate,Real Estate,"Glendale, California",2005-08-19,1393311,
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Consumer Discretionary,"Atlanta, Georgia",1984-04-30,822416,
PVH,PVH Corp.,reports,Consumer Discretionary,Consumer Discretionary,"New York, New York",2013-02-15,78239,
QRVO,Qorvo,reports,Information Technology,Information Technology,"Greensboro, North Carolina",2015-06-11,1604778,
PWR,Quanta Services Inc.,reports,Industrials,Industrials,"Houston, Texas",2009-07-01,1050915,
QCOM,QUALCOMM Inc.,reports,Information Technology,Information Technology,"San Diego, California",,804328,1985
DGX,Quest Diagnostics,reports,Health Care,Health Care,"Madison, New Jersey",2002-12-12,1022079,
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,Consumer Discretionary,"New York, New York",2007-02-02,1037038,
RJF,Raymond James Financial Inc.,reports,Financials,Financials,"St. Petersburg, Florida",2017-03-20,720005,
RTN,Raytheon Co.,reports,Industrials,Industrials,"Waltham, Massachusetts",,1047122,1922
O,Realty Income Corporation,reports,Real Estate,Real Estate,"San Diego, California",2015-04-07,726728,
REG,Regency Centers Corporation,reports,Real Estate,Real Estate,"Jacksonville, Florida",2017-03-02,910606,
REGN,Regeneron Pharmaceuticals,reports,Health Care,Health Care,"Tarrytown, New York",2013-05-01,872589,
RF,Regions Financial Corp.,reports,Financials,Financials,"Birmingham, Alabama",1998-08-28,1281761,
RSG,Republic Services Inc,reports,Industrials,Industrials,"Phoenix, Arizona",2008-12-05,1060391,
RMD,ResMed,reports,Health Care,Health Care,"San Diego, California",2017-07-26,943819,
RHI,Robert Half International,reports,Industrials,Industrials,"Menlo Park, California",2000-12-05,315213,
ROK,Rockwell Automation Inc.,reports,Industrials,Industrials,"Milwaukee, Wisconsin",,1024478,
ROL,Rollins Inc.,reports,Industrials,Industrials,"Atlanta, Georgia",2018-10-01,84839,
ROP,Roper Technologies,reports,Industrials,Industrials,"Sarasota, Florida",2009-12-23,882835,
ROST,Ross Stores,reports,Consumer Discretionary,Consumer Discretionary,"Pleasanton, California",2009-12-21,745732,
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,Consumer Discretionary,"Miami, Florida",2014-12-05,884887,
SPGI,"S&P Global, Inc.",reports,Financials,Financials,"New York, New York",,64040,
CRM,Salesforce.com,reports,Information Technology,Information Technology,"San Francisco, California",2008-09-15,1108524,
SBAC,SBA Communications,reports,Real Estate,Real Estate,"Boca Raton, Florida",2017-09-01,1034054,
SLB,Schlumberger Ltd.,reports,Energy,Energy,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347,1926
STX,Seagate Technology,reports,Information Technology,Information Technology,"Dublin, Ireland",2012-07-02,1137789,
SEE,Sealed Air,reports,Materials,Materials,"Elmwood Park, New Jersey",,1012100,
SRE,Sempra Energy,reports,Utilities,Utilities,"San Diego, California",,1032208,
NOW,ServiceNow,reports,Information Technology,Information Technology,"Santa Clara, California",2019-11-19,1373715,2003
SHW,Sherwin-Williams,reports,Materials,Materials,"Cleveland, Ohio",1964-06-30,89800,1866
SPG,Simon Property Group Inc,reports,Real Estate,Real Estate,"Indianapolis, Indiana",2002-06-26,1063761,2003
SWKS,Skyworks Solutions,reports,Information Technology,Information Technology,"Woburn, Massachusetts",2015-03-12,4127,
SLG,SL Green Realty,reports,Real Estate,Real Estate,"New York, New York",2015-03-20,1040971,
SNA,Snap-on,reports,Industrials,Industrials,"Kenosha, Wisconsin",1982-09-30,91440,1920
SO,Southern Co.,reports,Utilities,Utilities,"Atlanta, Georgia",,92122,
LUV,Southwest Airlines,reports,Industrials,Industrials,"Dallas, Texas",1994-07-01,92380,
