Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Consumer Discretionary,"Brentwood, Tennessee",2014-01-24,916365,
TDG,TransDigm Group,reports,Industrials,Industrials,"Cleveland, Ohio",2016-06-03,1260221,
TRV,The Travelers Companies Inc.,reports,Financials,Financials,"New York, New York",2002-08-21,86312,
TRIP,TripAdvisor,reports,Communication Services,Communication Services,"Newton, Massachusetts",2011-12-21,1526520,
TSN,Tyson Foods,reports,Consumer Staples,Consumer Staples,"Springdale, Arkansas",,100493,
UDR,"UDR, Inc.",reports,Real Estate,Real Estate,"Highlands Ranch, Colorado",2016-03-07,74208,
ULTA,Ulta Beauty,reports,Consumer Discretionary,Consumer Discretionary,"Bolingbrook, Illinois",2016-04-18,1403568,
USB,U.S. Bancorp,reports,Financials,Financials,"Minneapolis, Minnesota",,36104,1968
UAA,Under Armour Class A,reports,Consumer Discretionary,Consumer Discretionary,"Baltimore, Maryland",2016-03-25,1336917,
UA,Under Armour Class C,reports,Consumer Discretionary,Consumer Discretionary,"Baltimore, Maryland",2014-05-01,1336917,
UNP,Union Pacific Corp,reports,Industrials,Industrials,"Omaha, Nebraska",,100885,
UAL,United Airlines Holdings,reports,Industrials,Industrials,"Chicago, Illinois",2015-09-03,100517,
UNH,United Health Group Inc.,reports,Health Care,Health Care,"Minnetonka, Minnesota",1994-07-01,731766,
UPS,United Parcel Service,reports,Industrials,Industrials,"Atlanta, Georgia",2002-07-22,1090727,
URI,"United Rentals, Inc.",reports,Industrials,Industrials,"Stamford, Connecticut",2014-09-20,1067701,
UTX,United Technologies,reports,Industrials,Industrials,"Hartford, Connecticut",,101829,
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care,"King of Prussia, Pennsylvania",2014-09-20,352915,
UNM,Unum Group,reports,Financials,Financials,"Chattanooga, Tennessee",1994-03-01,5513,
VFC,V.F. Corp.,reports,Consumer Discretionary,Consumer Discretionary,"Greensboro, North Carolina",1979-06-30,103379,
VLO,Valero Energy,reports,Energy,Energy,"San Antonio, Texas",,1035002,1980
VAR,Varian Medical Systems,reports,Health Care,Health Care,"Palo Alto, California",2007-02-12,203527,
VTR,Ventas Inc,reports,Real Estate,Real Estate,"Chicago, Illinois",2009-03-04,740260,
VRSN,Verisign Inc.,reports,Information Technology,Information Technology,"Dulles, Virginia",2006-02-01,1014473,
VRSK,Verisk Analytics,reports,Industrials,Industrials,"Jersey City, New Jersey",2015-10-08,1442145,
VZ,Verizon Communications,reports,Communication Services,Communication Services,"New York, New York",1983-11-30,732712,
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Health Care,"Cambridge, Massachusetts",2013-09-23,875320,
VIAB,Viacom Inc.,reports,Communication Services,Communication Services,"New York, New York",,1339947,
V,Visa Inc.,reports,Information Technology,Information Technology,"San Francisco, California",2009-12-21,1403161,
VNO,Vornado Realty Trust,reports,Real Estate,Real Estate,"New York, New York",,899689,
VMC,Vulcan Materials,reports,Materials,Materials,"Birmingham, Alabama",1999-06-30,1396009,
WAB,Wabtec Corporation,reports,Industrials,Industrials,"Wilmerding, Pennsylvania",2019-02-27,943452,
WMT,Walmart,reports,Consumer Staples,Consumer Staples,"Bentonville, Arkansas",1982-08-31,104169,
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Consumer Staples,"Deerfield, Illinois",1979-12-31,1618921,
DIS,The Walt Disney Company,reports,Communication Services,Communication Services,"Burbank, California",1976-06-30,1001039,
WM,Waste Management Inc.,reports,Industrials,Industrials,"Houston, Texas",,823768,1968
WAT,Waters Corporation,reports,Health Care,Health Care,"Milford, Massachusetts",,1000697,1958
WEC,Wec Energy Group Inc,reports,Utilities,Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,
WCG,WellCare,reports,Health Care,Health Care,"Tampa, Florida",1985,1279363,
WFC,Wells Fargo,reports,Financials,Financials,"San Francisco, California",1976-06-30,72971,
WELL,Welltower Inc.,reports,Real Estate,Real Estate,"Toledo, Ohio",2009-01-30,766704,
WDC,Western Digital,reports,Information Technology,Information Technology,"Irvine, California",2009-07-01,106040,
WU,Western Union Co,reports,Information Technology,Information Technology,"Englewood, Colorado",,1365135,1851
WRK,WestRock,reports,Materials,Materials,"Richmond, Virginia",,1636023,
WY,Weyerhaeuser,reports,Real Estate,Real Estate,"Federal Way, Washington",,106535,
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Consumer Discretionary,"Benton Harbor, Michigan",,106640,1911
WMB,Williams Cos.,reports,Energy,Energy,"Tulsa, Oklahoma",1975-03-31,107263,
WLTW,Willis Towers Watson,reports,Financials,Financials,"London, United Kingdom",2016-01-05,1140536,
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Consumer Discretionary,"Paradise, Nevada",2008-11-14,1174922,
XEL,Xcel Energy Inc,reports,Utilities,Utilities,"Minneapolis, Minnesota",,72903,1909
XRX,Xerox,reports,Information Technology,Information Technology,"Norwalk, Connecticut",,108772,1906
XLNX,Xilinx,reports,Information Technology,Information Technology,"San Jose, California",1999-11-08,743988,
XYL,Xylem Inc.,reports,Industrials,Industrials,"White Plains, New York",2011-11-01,1524472,
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Consumer Discretionary,"Louisville, Kentucky",1997-10-06,1041061,
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care,"Warsaw, Indiana",2001-08-07,1136869,
ZION,Zions Bancorp,reports,Financials,Financials,"Salt Lake City, Utah",2001-06-22,109380,
ZTS,Zoetis,reports,Health Care,Health Care,"Florham Park, New Jersey",2013-06-21,1555280,
